                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1452,                 10.846,                 3.8458,                 4.2938,                0.01136,                0.46263,                0.00987,                0.00323,                0.00705,                0.30713,                0.00586,                0.00152,                 3.0108,                 5.1543,                 3.4408,                 4.1578,             0.00035007,             0.00035007,             0.00035007
                      2,                 3.2191,                 12.022,                 3.8723,                 4.3233,                0.01136,                0.46263,                0.00987,                0.00323,                0.00705,                0.30713,                0.00586,                0.00152,                 3.0108,                 5.1543,                 3.4408,                 4.1578,             0.00071539,             0.00071539,             0.00071539
                      3,                 3.0133,                 11.824,                 3.7341,                 4.2864,                0.01163,                0.46705,                0.01337,                0.00424,                0.00708,                0.30713,                0.00749,                0.00196,                 3.0159,                  5.123,                 3.4398,                 4.1575,              0.0010793,              0.0010793,              0.0010793
                      4,                 3.0652,                 12.414,                 3.8458,                 4.3332,                0.01163,                0.46705,                0.01337,                0.00424,                0.00708,                0.30713,                0.00749,                0.00196,                 3.0159,                  5.123,                 3.4398,                 4.1575,              0.0014417,              0.0014417,              0.0014417
                      5,                 3.2022,                 14.059,                 3.9056,                 4.3349,                0.01163,                0.46705,                0.01337,                0.00424,                0.00708,                0.30713,                0.00749,                0.00196,                 3.0159,                  5.123,                 3.4398,                 4.1575,              0.0016538,              0.0016538,              0.0016538
                      6,                 3.1883,                 12.062,                 3.8163,                 4.3133,                0.01103,                0.45378,                0.01267,                0.00394,                0.00674,                0.29377,                0.00637,                0.00175,                 3.0213,                 5.0603,                 3.4479,                  4.159,              0.0016538,              0.0016538,              0.0016538
                      7,                 3.0917,                 11.095,                 3.9769,                 4.2788,                0.01103,                0.45378,                0.01267,                0.00394,                0.00674,                0.29377,                0.00637,                0.00175,                 3.0213,                 5.0603,                 3.4479,                  4.159,              0.0016505,              0.0016505,              0.0016505
                      8,                 3.0032,                 11.221,                 3.7644,                 4.2884,                0.01103,                0.45378,                0.01267,                0.00394,                0.00674,                0.29377,                0.00637,                0.00175,                 3.0213,                 5.0603,                 3.4479,                  4.159,              0.0016472,              0.0016472,              0.0016472
                      9,                 3.0804,                 11.975,                 3.7504,                 4.3053,                 0.0129,                0.56985,                0.02192,                0.00511,                0.00439,                0.17786,                0.00267,                 0.0008,                 3.0294,                 22.848,                 3.5151,                 4.3667,              0.0016439,              0.0016439,              0.0016439
                     10,                   3.24,                 12.134,                 3.8904,                 4.3271,                 0.0129,                0.56985,                0.02192,                0.00511,                0.00439,                0.17786,                0.00267,                 0.0008,                 3.0294,                 22.848,                 3.5151,                 4.3667,              0.0016406,              0.0016406,              0.0016406
                     11,                 3.1419,                 12.846,                 3.9929,                 4.3271,                 0.0129,                0.56985,                0.02192,                0.00511,                0.00439,                0.17786,                0.00267,                 0.0008,                 3.0294,                 22.848,                 3.5151,                 4.3667,              0.0016373,              0.0016373,              0.0016373
                     12,                 3.1118,                 11.318,                 4.2338,                 4.2672,                 0.0129,                0.56985,                0.02192,                0.00511,                0.00439,                0.17786,                0.00267,                 0.0008,                   4.51,                    nan,                    inf,                 83.569,               0.001634,               0.001634,               0.001634
                     13,                 3.0705,                 8.7536,                 4.4461,                  4.196,                 0.0129,                0.56985,                0.02192,                0.00511,                0.00439,                0.17786,                0.00267,                 0.0008,                   4.51,                    nan,                    inf,                 83.569,              0.0016307,              0.0016307,              0.0016307
                     14,                 3.0288,                 8.7537,                 4.5623,                 4.2158,                 0.0129,                0.56985,                0.02192,                0.00511,                0.00439,                0.17786,                0.00267,                 0.0008,                   4.51,                    nan,                    inf,                 83.569,              0.0016274,              0.0016274,              0.0016274
                     15,                  3.123,                 6.4638,                 3.8759,                 4.1657,                 0.0129,                0.56985,                0.02192,                0.00511,                0.00439,                0.17786,                0.00267,                 0.0008,                 4.0592,                 3142.2,                    inf,                 25.995,              0.0016241,              0.0016241,              0.0016241
                     16,                 3.2519,                 5.8468,                 3.7407,                 4.1374,                 0.0129,                0.56985,                0.02192,                0.00511,                0.00439,                0.17786,                0.00267,                 0.0008,                 4.0592,                 3142.2,                    inf,                 25.995,              0.0016208,              0.0016208,              0.0016208
                     17,                  2.949,                 5.5471,                  3.758,                 4.1339,                 0.0129,                0.56985,                0.02192,                0.00511,                0.00439,                0.17786,                0.00267,                 0.0008,                 4.0592,                 3142.2,                    inf,                 25.995,              0.0016175,              0.0016175,              0.0016175
                     18,                 3.0283,                 5.6819,                 3.6223,                 4.1468,                0.00509,                0.12903,                0.00295,                0.00096,                0.00276,                  0.058,                0.00161,                0.00045,                 4.2495,                    nan,                 321.76,                 42.438,              0.0016142,              0.0016142,              0.0016142
                     19,                 3.1369,                 5.7911,                  3.671,                 4.1259,                0.00509,                0.12903,                0.00295,                0.00096,                0.00276,                  0.058,                0.00161,                0.00045,                 4.2495,                    nan,                 321.76,                 42.438,              0.0016109,              0.0016109,              0.0016109
                     20,                 3.0775,                 5.4321,                 3.6723,                 4.1324,                0.00509,                0.12903,                0.00295,                0.00096,                0.00276,                  0.058,                0.00161,                0.00045,                 4.2495,                    nan,                 321.76,                 42.438,              0.0016076,              0.0016076,              0.0016076
                     21,                 2.9691,                 5.0288,                 3.5898,                 4.0803,                0.00979,                0.10659,                0.00513,                0.00134,                0.00253,                0.05333,                0.00138,                0.00036,                 4.0727,                 942.28,                 320.67,                 24.334,              0.0016043,              0.0016043,              0.0016043
                     22,                 3.1526,                 5.1453,                 3.7781,                 4.0895,                0.00979,                0.10659,                0.00513,                0.00134,                0.00253,                0.05333,                0.00138,                0.00036,                 4.0727,                 942.28,                 320.67,                 24.334,               0.001601,               0.001601,               0.001601
                     23,                 2.9691,                 4.9012,                 3.6474,                 4.0672,                0.00979,                0.10659,                0.00513,                0.00134,                0.00253,                0.05333,                0.00138,                0.00036,                 4.0727,                 942.28,                 320.67,                 24.334,              0.0015977,              0.0015977,              0.0015977
                     24,                  3.156,                 4.7476,                 3.5761,                  4.067,                 0.0764,                0.07127,                0.02742,                0.00487,                0.01683,                0.04006,                0.00579,                0.00138,                 3.8819,                 138.27,                 5.2041,                  11.05,              0.0015944,              0.0015944,              0.0015944
                     25,                 2.9859,                 4.6698,                 3.7449,                  4.052,                 0.0764,                0.07127,                0.02742,                0.00487,                0.01683,                0.04006,                0.00579,                0.00138,                 3.8819,                 138.27,                 5.2041,                  11.05,              0.0015911,              0.0015911,              0.0015911
                     26,                 3.0104,                 4.6733,                 3.7717,                 4.0692,                0.00735,                0.25719,                 0.0056,                0.00168,                0.01079,                0.00893,                0.00328,                0.00084,                 3.5629,                 31.114,                 4.7839,                 5.5769,              0.0015878,              0.0015878,              0.0015878
                     27,                  2.946,                  4.319,                 3.6857,                 4.0218,                0.00735,                0.25719,                 0.0056,                0.00168,                0.01079,                0.00893,                0.00328,                0.00084,                 3.5629,                 31.114,                 4.7839,                 5.5769,              0.0015845,              0.0015845,              0.0015845
                     28,                 3.0633,                 4.4397,                 3.7175,                  4.014,                0.00735,                0.25719,                 0.0056,                0.00168,                0.01079,                0.00893,                0.00328,                0.00084,                 3.5629,                 31.114,                 4.7839,                 5.5769,              0.0015812,              0.0015812,              0.0015812
